roll_no,attendance_percentage,study_hours_daily,self_learning_hours,study_hours_per_week,last_sync_time
S100509,78.08,1.8,3.69,17.72,2024-03-12
S100510,69.92,1.03,0.36,11.49,2024-04-21
S100511,64.25,1.32,1.17,10.76,2024-02-12
S100512,95.45,4.28,2.85,10.87,2024-04-15
S100513,98.95,1.41,0.45,7.89,2024-04-05
S100514,64.36,4.6,4.35,22.78,2024-05-29
S100515,84.87,2.7,3.03,11.37,20/04/2024
S100516,96.17,5.17,,24.47,2024-05-09
S100517,70.35,1.62,1.2,9.2,23/04/2024
S100518,0.632,6.8,0.85,10.81,09/05/2024
S100519,95.52,4.59,3.33,11.83,01-30-2024
S100520,71.53,5.48,1.78,8.71,05-04-2024
S100521,84%,0.94,0.81,10.9,2024-05-02
S100522,70.57,1.92,0.15,18.85,27/05/2024
S100523,69.0%,2.14,1.48,23.41,2024-05-27
S100524,64.45,2.79,5.65,17.09,15/03/2024
S100525,68.45,1.35,3.83,6.67,2024-02-22
S100526,100%,5.5,4.06,10.8,2024/02/07 20:26:39
S100527,74%,6.08,2.44,10.95,02-04-2024
S100528,85.31,4.82,1.59,26.9,05-02-2024
S100529,80.38,5.68,0.08,21.9,2024-03-07
S100530,87.43,3.17,0.25,23.5,2024-05-08
S100531,61.41,3.87,3.66,10.04,2024-03-28
S100532,79.46,3.93,4.73,6.09,05-29-2024
S100533,54.22,0.91,0.34,19.01,01-20-2024
S100534,77.54,5.04,0.37,11.78,2024-01-12
S100535,87.28,4.17,0.32,17.04,2024-02-13
S100536,39.22,1.33,0.05,17.89,2024-05-13
S100537,0.8351,6.09,2.23,12.23,15/02/2024
S100538,78.13,0.0,1.34,22.03,2024-04-25
S100539,88.98,2.31,3.23,4.78,2024-02-01
S100540,80%,3.56,0.5,15.77,2024-04-19
S100541,89%,2.81,1.59,19.75,2024-03-07
S100542,55.67,3.18,0.2,26.92,04-06-2024
S100543,65.56,1.1,0.64,15.94,09/03/2024
S100544,73.98,2.1,0.65,23.8,01/05/2024
S100545,80.43,2.47,0.2,23.34,01-20-2024
S100546,53.45,3.75,0.06,31.36,2024-01-31
S100547,88.36,3.32,1.55,17.27,2024-05-20
S100548,62.82,1.07,1.84,29.36,2024-04-05
S100549,0.9062,3.27,5.96,20.67,2024-05-20
S100550,77.89,1.91,0.29,4.26,14/03/2024
S100551,100.0,2.15,0.84,15.2,04-03-2024
S100552,99.12,1.38,1.82,8.58,17/02/2024
S100553,79.42,3.34,1.56,25.71,2024-05-10
S100554,100.0,1.53,3.78,16.18,2024-01-21
S100555,48.16,0.0,0.42,5.76,2024-03-11
S100556,57.14,3.2,2.61,21.18,2024-02-07
S100557,61.22,3.77,0.28,24.25,2024-03-02
S100558,88.09,3.39,0.95,12.18,2024-01-29
S100559,93.06,1.09,3.24,11.87,2024-05-19
S100560,77.7,0.86,0.18,16.41,21/01/2024
S100561,73.3%,1.09,0.82,2.33,2024/03/19 08:04:11
S100562,91.1%,1.51,2.86,19.97,06/02/2024
S100563,61.29,2.59,0.13,26.84,2024-02-14
S100564,100.0,3.13,1.25,10.45,2024/05/22 05:13:49
S100565,80.47,4.44,4.18,27.9,2024-03-12
S100566,71.21,4.55,2.62,21.96,28/04/2024
S100567,58.54,0.68,1.1,14.46,2024-05-04
S100568,0.897,2.89,2.51,19.44,2024-04-22
S100569,86.46,1.04,0.37,26.18,2024-03-05
S100570,85.56,3.36,1.3,15.99,05-20-2024
S100571,65.16,1.19,,17.75,12/05/2024
S100572,70.42,0.7,2.49,11.25,2024-04-13
S100573,86.5%,0.7,3.51,14.16,2024-05-02
S100574,80%,3.91,0.42,19.91,2024-04-10
S100575,78%,0.75,3.41,13.74,2024-05-05
S100576,51.74,1.72,1.25,11.48,2024-03-03
S100577,73.85,2.7,0.98,23.06,2024-01-10
S100578,56.53,3.39,4.14,18.38,14/04/2024
S100579,100%,5.05,1.0,11.64,2024-03-25
S100580,88%,2.66,0.96,27.27,2024-02-07
S100581,81%,1.49,2.31,29.8,12/03/2024
S100582,70.22,3.26,3.27,22.1,2024-04-06
S100583,81.64,1.38,6.55,6.64,31/01/2024
S100584,93.7,3.96,2.09,17.85,2024-05-11
S100585,67.92,4.4,1.03,19.12,23/04/2024
S100586,81.11,4.85,2.01,3.91,2024-05-14
S100587,61.18,1.1,1.55,23.34,2024-05-23
S100588,90.41,3.09,1.75,16.46,2024-04-22
S100589,73.98,3.13,1.85,22.86,2024-04-16
S100590,87.66,3.65,4.26,12.86,03/04/2024
S100591,90.77,3.59,0.28,18.39,05-03-2024
S100592,56%,2.95,0.73,18.72,2024-04-28
S100593,53.0,3.2,0.7,16.32,17/02/2024
S100594,49.61,2.68,1.79,18.44,25/03/2024
S100595,75.0%,1.32,1.76,14.04,04-14-2024
S100596,61.02,3.61,0.14,6.72,2024-02-27
S100597,84.95,1.28,0.04,0.71,2024-05-06
S100598,79%,3.41,2.18,10.68,04/04/2024
S100599,65.59,2.79,0.3,20.54,01-28-2024
S100600,72.3%,1.76,6.36,7.73,2024-04-19
S100601,72.04,3.47,0.06,22.43,2024-03-05
S100602,68.52,4.97,1.68,24.74,04-02-2024
S100603,0.588,4.11,4.74,18.31,2024-01-31
S100604,80.99,1.4,0.3,13.84,2024-02-19
S100605,89.52,4.7,0.9,22.17,05/04/2024
S100606,70.23,2.15,0.08,23.1,2024-02-08
S100607,96.61,4.01,3.84,13.42,2024/01/11 22:02:19
S100608,69.2,3.18,3.41,15.59,2024-01-24
S100609,80.04,3.99,3.01,9.31,2024-03-28
S100610,58%,4.29,0.17,17.0,2024-04-24
S100611,53.16,3.63,0.47,0.53,2024-03-05
S100612,80.06,4.3,0.44,12.95,2024-04-29
S100613,80.96,2.9,3.15,9.03,27/01/2024
S100614,49.63,4.2,8.0,14.38,2024-04-05
S100615,0.7214,2.36,2.59,9.43,25/04/2024
S100616,75.99,1.76,5.03,1.61,2024-01-15
S100617,81%,3.57,2.96,10.42,2024-01-12
S100618,96.6,3.65,0.49,11.67,28/05/2024
S100619,77.11,1.3,1.94,22.46,23/04/2024
S100620,72.55,2.18,0.34,10.51,2024-04-06
S100621,65.12,0.0,6.73,9.07,2024-04-09
S100622,42.86,2.79,1.68,6.66,2024-01-30
S100623,57.29,1.98,5.59,23.0,14/01/2024
S100624,77.43,4.05,0.8,13.44,2024-02-20
S100625,75.74,3.36,0.83,16.91,2024-03-19
S100626,85.23,0.39,1.86,4.19,2024-01-11
S100627,83.45,5.65,0.73,2.72,2024-03-21
S100628,0.9825,2.38,3.19,8.69,2024/05/20 10:32:25
S100629,78.1%,3.64,0.32,26.36,2024-01-15
S100630,84.81,3.14,,7.36,2024-05-27
S100631,70.85,3.51,0.14,10.62,2024-03-13
S100632,82.41,4.92,0.15,15.09,16/01/2024
S100633,77.12,2.4,0.38,10.62,23/02/2024
S100634,84.43,0.47,5.7,18.35,22/02/2024
S100635,70.6,2.46,1.68,9.18,2024-05-09
S100636,78.12,4.31,0.07,7.29,2024-04-08
S100637,79.49,2.12,0.35,34.02,2024-01-11
S100638,67.73,2.81,1.67,8.44,26/01/2024
S100639,85.16,2.47,,20.57,2024-05-18
S100640,100.0,3.51,2.27,8.4,2024-02-12
S100641,96.53,3.42,2.49,4.21,2024-04-08
S100642,47%,3.68,0.57,14.37,2024-02-23
S100643,0.8376,1.69,2.35,5.61,2024-04-26
S100644,100%,1.19,3.46,12.25,20/01/2024
S100645,79.83,1.66,0.46,9.43,01/03/2024
S100646,91.13,4.46,0.95,23.76,2024/05/16 00:46:35
S100647,69.67,1.74,1.59,4.21,2024-03-20
S100648,81.0%,2.81,0.32,19.73,2024-01-29
S100649,80.87,1.86,0.08,17.0,2024-03-22
S100650,65%,3.46,0.38,13.4,2024-04-20
S100651,84.81,0.0,4.24,9.69,06/03/2024
S100652,64.71,3.65,0.63,16.21,2024-05-21
S100653,54%,2.88,3.29,16.58,2024-05-03
S100654,100.0,2.4,3.64,17.76,2024-04-29
S100655,80.03,4.84,8.0,13.12,2024-03-24
S100656,93.68,3.6,4.4,6.98,2024-05-03
S100657,97.38,0.84,2.92,21.15,2024-03-03
S100658,64.02,5.81,6.81,14.98,03/02/2024
S100659,70.36,2.56,0.41,10.71,24/05/2024
S100660,53.38,3.18,1.96,7.99,29/02/2024
S100661,61.75,3.07,1.24,21.46,2024-01-17
S100662,96.05,4.07,1.81,24.69,11/05/2024
S100663,100.0,1.48,0.84,19.03,2024-05-29
S100664,82.68,0.0,1.48,19.5,2024-01-31
S100665,88.08,2.52,0.64,23.21,22/05/2024
S100666,68.99,4.8,,12.47,2024-02-26
S100667,0.6977,2.98,0.38,29.94,2024-02-24
S100668,64.39,1.63,2.49,7.58,2024-02-25
S100669,92.09,1.28,2.23,13.3,30/03/2024
S100670,97.3%,3.27,2.5,9.6,2024-03-02
S100671,76%,3.23,3.61,15.45,2024-04-26
S100672,78%,7.8,2.23,27.12,2024-02-27
S100673,74.18,3.62,0.62,13.33,2024-04-20
S100674,47.75,3.88,2.65,17.95,2024-05-24
S100675,94.41,2.7,2.41,0.0,2024-03-25
S100676,100.0,2.13,3.04,17.99,05/02/2024
S100677,77.46,3.99,1.52,21.99,02-06-2024
S100678,96%,3.43,1.22,15.86,23/01/2024
S100679,80%,2.85,3.43,7.54,2024/05/15 16:34:49
S100680,79.8%,2.72,0.77,6.6,07/02/2024
S100681,75.53,4.6,0.48,11.12,19/03/2024
S100682,97.01,3.7,1.94,6.54,2024-02-24
S100683,66.1%,3.84,5.5,26.03,2024-03-11
S100684,79.98,4.24,1.28,18.27,2024-03-20
S100685,87.95,2.06,3.27,25.11,2024-02-15
S100686,93.19,4.77,0.89,12.98,2024-02-16
S100687,75.91,4.39,1.74,9.65,01/05/2024
S100688,80.97,3.71,0.63,10.08,13/05/2024
S100689,72.3,5.52,1.83,11.76,2024-03-14
S100690,73.55,1.41,5.74,11.54,2024-04-24
S100691,82.0,4.61,2.39,23.55,2024-03-01
S100692,84%,5.3,1.12,21.4,2024/03/05 00:02:19
S100693,88.86,3.63,0.56,16.9,04-01-2024
S100694,93.57,4.32,3.71,3.38,2024-05-12
S100695,77.79,5.13,1.39,17.07,22/02/2024
S100696,78.6,3.36,0.33,12.82,2024-02-08
S100697,100.0,1.49,0.06,24.84,2024-03-01
S100698,85.04,0.0,0.88,21.27,15/04/2024
S100699,0.8217,0.62,1.17,16.0,28/02/2024
S100700,0.9462,1.83,,0.32,2024-05-04
S100701,60.17,3.79,4.93,14.05,2024-01-12
S100702,73.06,3.8,1.47,10.43,2024-04-23
S100703,78.25,1.14,4.08,17.84,2024-01-30
S100704,93%,0.0,0.32,7.01,03-08-2024
S100705,82.8%,0.09,2.3,16.84,29/03/2024
S100706,69.77,0.09,0.11,0.0,18/05/2024
S100707,53%,3.36,0.12,5.3,2024-01-17
S100708,100.0,1.38,1.94,8.84,01/02/2024
S100709,78.81,3.84,,11.18,2024-04-27
S100710,64.74,4.35,1.84,17.72,12/04/2024
S100711,62.9%,4.74,,3.41,2024-03-31
S100712,77.26,2.89,3.21,10.51,2024-04-23
S100713,74.43,1.17,0.05,10.69,2024-03-13
S100714,0.8913,1.2,0.39,19.82,2024-03-22
S100715,65.79,0.0,0.85,13.66,28/02/2024
S100716,42.14,7.18,4.28,8.23,05/05/2024
S100717,85.34,3.76,0.5,7.45,06/04/2024
S100718,91.62,4.84,6.89,11.13,2024-03-03
S100719,84.42,3.86,2.16,3.46,30/04/2024
S100720,68.57,3.11,5.46,26.38,2024-02-24
S100721,90.48,3.73,0.86,14.97,2024-02-20
S100722,83.3%,2.13,0.17,8.61,2024-05-26
S100723,73.68,5.94,2.38,7.62,05-03-2024
S100724,0.7399,4.85,1.34,6.55,2024-05-13
S100725,77.45,1.76,0.51,17.6,07/04/2024
S100726,96.29,3.88,2.77,3.43,01-20-2024
S100727,79.7,3.87,0.28,13.75,2024-04-28
S100728,52.29,2.2,0.04,19.02,2024/05/16 16:04:46
S100729,67.4%,2.17,1.58,10.9,2024/02/24 14:52:52
S100730,67%,4.71,0.53,7.92,28/04/2024
S100731,73.32,3.33,0.23,20.86,2024-02-05
S100732,65.83,3.25,0.36,7.08,2024-05-09
S100733,72.69,3.26,0.44,13.06,2024-04-28
S100734,74.37,2.74,2.55,15.81,2024-04-08
S100735,83.15,4.53,1.62,10.77,11/03/2024
S100736,0.6788,4.32,0.75,6.61,2024-02-21
S100737,78.78,5.78,1.15,11.09,2024-05-09
S100738,67.24,4.04,2.81,17.38,2024-02-12
S100739,66.19,4.78,0.71,9.9,2024-04-04
S100740,86.22,2.62,2.17,18.18,2024/05/16 23:18:55
S100741,62.55,4.37,0.61,13.21,30/01/2024
S100742,80.07,5.0,1.53,10.76,11/05/2024
S100743,82.21,3.96,0.5,9.92,2024-03-07
S100744,85.53,1.85,0.07,16.62,18/05/2024
S100745,94.7%,3.42,0.7,22.89,07/05/2024
S100746,80.39,5.86,2.92,15.85,2024-05-03
S100747,85.3%,4.2,4.4,8.25,21/03/2024
S100748,78.64,2.77,1.63,22.65,05-23-2024
S100749,85.0%,1.56,1.72,8.8,2024-04-17
S100750,75.95,3.88,2.21,27.1,2024-03-20
S100751,62.92,4.43,2.5,13.87,2024/02/05 20:58:23
S100752,100%,2.57,,8.85,14/04/2024
S100753,72.14,2.88,0.17,18.91,18/05/2024
S100754,50%,0.98,0.2,12.82,2024-04-11
S100755,88.17,5.39,3.12,18.1,2024-03-23
S100756,80.05,3.71,0.04,15.64,24/04/2024
S100757,86%,1.66,0.05,5.35,2024-01-19
S100758,48%,3.67,1.76,14.51,2024/02/11 06:24:54
S100759,100%,2.3,1.96,18.51,15/05/2024
S100760,0.8971,1.53,0.08,15.79,2024-03-30
S100761,56.83,4.73,0.7,23.79,2024-02-02
S100762,88.49,2.35,3.13,17.18,2024-04-19
S100763,59.78,2.88,7.91,13.31,2024-01-27
S100764,90.61,0.81,0.99,16.47,2024-04-03
S100765,85.47,2.83,0.0,11.55,2024-04-07
S100766,100.0,4.12,0.73,17.52,29/03/2024
S100767,65.96,2.05,0.71,17.51,2024-03-06
S100768,75.77,2.95,1.29,6.33,2024-04-29
S100769,63.22,3.15,1.02,20.41,2024-01-20
S100770,99.68,7.06,4.3,30.63,2024/05/09 01:12:58
S100771,55.64,3.43,5.02,18.82,2024-05-13
S100772,71.81,0.0,8.0,0.79,2024-02-17
S100773,63.76,4.64,0.3,12.01,30/01/2024
S100774,91.88,2.32,2.86,6.04,2024-05-23
S100775,72.0%,3.5,0.78,12.96,2024-02-03
S100776,0.9115,2.79,1.05,19.8,07/03/2024
S100777,97.45,3.4,0.93,9.97,2024-02-24
S100778,76%,0.0,0.33,28.19,2024-05-04
S100779,93.99,2.73,0.45,0.0,2024-02-28
S100780,81.38,2.27,1.35,13.26,2024-05-02
S100781,1.0,5.01,1.27,17.65,29/01/2024
S100782,93.9%,2.53,2.58,6.46,2024-05-20
S100783,65.97,5.14,0.92,7.39,2024-04-26
S100784,73.95,0.74,0.48,20.29,2024-05-28
S100785,100.0,2.3,1.6,28.5,2024-01-10
S100786,65.21,3.09,7.26,29.32,2024-04-26
S100787,71.3%,2.56,3.75,12.57,2024-03-02
S100788,74.5,3.97,0.5,24.46,2024-03-22
S100789,70.36,2.29,0.64,14.52,2024-01-18
S100790,99%,2.04,1.31,21.42,13/01/2024
S100791,100.0,1.98,0.98,13.53,04-19-2024
S100792,82.93,1.93,2.69,7.06,05-07-2024
S100793,90.08,1.15,7.13,26.21,2024-03-21
S100794,72.01,1.85,0.82,28.04,2024-01-18
S100795,88.57,1.42,0.87,12.05,2024-01-18
S100796,100%,5.6,0.9,21.56,2024-04-25
S100797,45.57,1.28,1.68,13.98,2024-02-29
S100798,75.09,2.92,0.16,30.27,2024/01/24 15:07:52
S100799,93.45,4.67,1.62,4.55,05-05-2024
S100800,79.13,4.88,1.13,13.75,2024-03-30
S100801,87.29,2.75,0.71,4.87,2024-02-19
S100802,79.96,5.22,8.0,3.89,2024-01-15
S100803,76.1%,5.21,0.23,14.19,2024-05-17
S100804,63.94,1.94,0.17,11.85,2024-04-03
S100805,89.77,3.35,1.12,7.92,2024-02-18
S100806,87.88,3.25,0.44,20.86,2024-03-29
S100807,80.69,6.11,3.58,24.09,18/03/2024
S100808,78.6,2.77,6.38,18.59,2024-01-16
S100809,90.34,1.77,5.9,1.86,2024-01-17
S100810,87.32,0.0,1.72,17.38,2024-05-08
S100811,73%,5.6,0.91,17.31,2024-03-16
S100812,100.0,2.09,6.52,9.1,2024-03-24
S100813,88.95,5.08,2.99,17.42,2024-05-14
S100814,87.3,4.36,0.53,11.45,06/02/2024
S100815,79.49,0.58,1.21,9.26,2024-01-26
S100816,75.3,2.02,0.13,6.72,2024-03-18
S100817,82.83,5.13,1.06,20.84,11/03/2024
S100818,74.79,1.83,0.61,24.05,2024-01-17
S100819,85.84,4.53,1.23,14.01,05/05/2024
S100820,79%,4.08,3.33,21.89,09/02/2024
S100821,46.04,1.29,1.1,25.69,2024-02-03
S100822,75.98,5.98,3.18,15.92,2024-03-31
S100823,82.54,5.01,3.78,14.46,2024-02-18
S100824,73.7%,2.51,0.17,18.29,03-25-2024
S100825,83.96,6.42,0.48,9.14,2024-02-23
S100826,77.97,1.06,0.15,18.83,2024/02/26 23:50:47
S100827,83.5%,2.95,0.12,16.06,2024-05-21
S100828,65.1%,1.35,0.28,5.85,10/01/2024
S100829,72.45,2.82,1.45,5.94,05/02/2024
S100830,87.68,4.54,0.4,8.1,2024-05-24
S100831,62.04,2.73,0.4,18.59,2024-02-13
S100832,82.76,1.35,0.65,12.64,2024-05-13
S100833,60.23,4.04,0.02,14.82,2024-05-29
S100834,77.98,1.58,0.18,24.56,2024/01/19 11:12:48
S100835,86.07,3.95,0.53,18.1,2024-03-27
S100836,75.24,2.5,1.13,10.5,05-04-2024
S100837,96.21,4.67,2.63,8.09,2024-02-07
S100838,100.0,3.17,0.84,17.14,2024-05-18
S100839,74%,5.74,7.4,8.2,2024-02-23
S100840,80.87,4.41,1.66,23.77,21/01/2024
S100841,72.26,0.0,3.26,16.72,11/03/2024
S100842,77.8%,4.16,0.37,15.9,2024-04-17
S100843,100%,2.15,0.11,8.32,03-21-2024
S100844,63.86,1.24,1.11,19.34,2024-03-30
S100845,76.5,1.96,3.25,22.9,2024-01-28
S100846,100.0,2.42,1.42,14.05,2024-03-11
S100847,65.4%,2.29,5.15,21.5,01-17-2024
S100848,78.38,1.75,0.4,12.17,2024-01-16
S100849,69.78,0.17,2.17,14.56,2024-02-05
S100850,72.19,1.55,1.52,29.6,2024-04-10
S100851,82.19,2.16,0.75,12.4,2024-04-13
S100852,77%,1.16,1.94,18.78,11/05/2024
S100853,100.0,2.25,0.77,12.28,2024-03-24
S100854,66.94,0.71,0.03,16.96,2024-03-29
S100855,85.88,3.61,1.02,19.87,15/03/2024
S100856,56.9%,8.74,1.52,8.69,2024-05-14
S100857,90.26,3.98,0.39,10.06,25/05/2024
S100858,65.61,1.63,0.04,18.97,22/01/2024
S100859,71.78,3.15,2.8,16.13,2024-03-24
S100860,66.4%,1.24,3.73,23.21,2024-03-11
S100861,63.36,4.59,1.96,16.89,2024-05-27
S100862,88.69,4.13,0.26,28.02,03/05/2024
S100863,74.57,5.14,3.91,19.88,2024-02-13
S100864,72.07,3.48,2.81,28.15,24/01/2024
S100865,55.75,1.87,1.93,26.83,2024-02-01
S100866,62.3,2.94,0.16,10.51,2024-02-26
S100867,70.14,1.64,1.29,25.36,12/02/2024
S100868,61.32,3.72,2.38,21.58,2024-05-24
S100869,57.18,2.61,0.22,21.09,2024-01-30
S100870,0.9032,4.35,0.25,23.3,2024-03-08
S100871,80.38,0.9,0.13,12.84,2024-04-10
S100872,70.71,1.27,1.79,17.3,2024-04-02
S100873,86.49,3.59,1.29,12.06,28/05/2024
S100874,100.0,1.49,8.0,31.17,24/02/2024
S100875,52.18,3.73,0.4,9.73,27/01/2024
S100876,100.0,2.27,1.37,6.05,2024-04-27
S100877,82.05,3.29,1.49,9.28,2024-04-24
S100878,0.7753,1.26,0.24,14.62,29/05/2024
S100879,78.95,0.9,0.43,14.57,29/04/2024
S100880,83.27,3.29,0.79,21.23,25/02/2024
S100881,73.93,0.0,1.88,15.22,2024-05-11
S100882,75.43,4.31,1.53,11.54,2024-02-08
S100883,88.2%,2.49,2.39,18.38,2024-04-26
S100884,75.01,3.32,1.38,23.15,2024-02-09
S100885,71.6%,2.76,2.22,16.45,2024/01/12 21:01:33
S100886,85%,3.33,0.05,21.08,2024-05-20
S100887,100.0,1.15,0.07,15.58,15/04/2024
S100888,82.33,2.09,0.28,13.18,03/03/2024
S100889,83.19,4.11,0.58,19.89,2024-05-18
S100890,80.74,3.49,0.36,16.6,2024-02-04
S100891,90.01,0.8,0.11,22.03,2024-02-01
S100892,67.36,0.91,0.52,25.8,2024-02-02
S100893,67.0,2.05,1.28,14.21,2024-01-13
S100894,81.93,2.79,2.05,19.53,2024-05-13
S100895,62.9%,4.74,5.95,22.48,2024-01-18
S100896,67.04,1.14,,17.87,14/03/2024
S100897,66.8%,2.55,0.18,18.57,2024-05-14
S100898,68.78,2.45,1.72,16.0,03-20-2024
S100899,83.79,2.9,0.99,16.79,27/05/2024
S100900,81%,4.04,1.64,18.65,01-22-2024
S100901,62.12,4.12,0.2,10.75,2024-03-03
S100902,80.07,2.1,1.62,3.11,2024-01-22
S100903,68.2%,4.36,0.28,14.39,2024-04-14
S100904,0.7038,4.68,0.94,13.82,10/05/2024
S100905,89.46,4.4,0.87,26.34,2024-05-12
S100906,81.78,2.05,0.02,17.07,2024-04-22
S100907,0.9729,2.22,1.01,18.93,2024/02/28 06:37:22
S100908,57.7%,4.43,1.27,12.12,2024-04-24
S100909,93.94,2.58,3.28,10.83,16/03/2024
S100910,85.41,4.41,3.06,9.16,2024-04-16
S100911,80.27,3.16,1.64,6.18,2024-03-18
S100912,76.14,3.39,0.23,20.09,2024-03-22
S100913,72.67,2.36,0.1,17.15,01/05/2024
S100914,72%,0.0,3.61,25.34,18/05/2024
S100915,0.8431,1.37,5.05,18.85,2024-05-16
S100916,78.98,5.5,1.69,16.7,09/04/2024
S100917,88.47,0.84,2.17,1.13,2024-03-29
S100918,93.74,4.3,0.8,28.36,2024-05-22
S100919,67.55,0.91,0.1,15.27,04-21-2024
S100920,79.18,1.74,0.19,0.41,30/04/2024
S100921,0.6763,4.72,1.51,16.58,05-19-2024
S100922,70%,2.64,1.15,9.32,2024-01-14
S100923,87.42,1.83,5.92,9.07,04-30-2024
S100924,67.93,3.82,3.86,16.87,2024-05-24
S100925,72%,4.23,1.34,10.89,2024-02-08
S100926,74.28,2.74,2.05,22.19,2024-05-24
S100927,70%,2.24,0.74,14.19,2024-02-13
S100928,64.62,4.45,5.63,17.8,2024-05-07
S100929,95%,2.12,2.3,18.97,2024-01-30
S100930,61%,0.0,4.74,16.76,2024-01-18
S100931,0.845,4.94,1.83,16.5,04-20-2024
S100932,75.07,2.69,0.27,15.99,13/01/2024
S100933,90.28,3.54,1.18,25.45,26/03/2024
S100934,79.2%,4.64,0.41,20.91,2024-03-27
S100935,79.0%,2.91,2.0,10.16,2024-01-26
S100936,78.11,5.16,2.55,7.22,2024-03-20
S100937,69.64,1.97,1.37,9.44,2024-04-07
S100938,73.83,3.82,5.03,17.99,24/02/2024
S100939,86.98,0.2,3.83,7.27,2024-03-07
S100940,69.37,2.41,3.3,10.43,21/02/2024
S100941,68.68,6.57,0.07,5.6,2024-04-03
S100942,57.72,5.59,6.2,21.52,21/03/2024
S100943,99.31,2.88,0.98,19.64,2024/01/23 08:49:47
S100944,80.44,0.75,1.7,21.15,05-23-2024
S100945,60.04,4.51,1.76,11.68,14/04/2024
S100946,60%,5.14,0.67,2.69,2024-04-19
S100947,71.84,4.79,0.89,9.16,2024-04-12
S100948,74.57,4.32,3.53,5.57,08/03/2024
S100949,91%,3.02,2.45,5.5,2024-05-17
S100950,74.38,0.12,0.04,22.96,2024-04-17
S100951,87.54,5.18,1.14,13.27,2024-03-03
S100952,72.7%,4.22,3.55,17.03,2024-03-23
S100953,92.96,4.6,2.0,22.72,03-08-2024
S100954,75.82,2.01,0.85,7.86,20/01/2024
S100955,68.45,3.01,4.29,19.3,09/02/2024
S100956,80.17,2.16,1.43,4.83,28/04/2024
S100957,92%,4.43,0.26,16.77,2024-01-17
S100958,60.15,3.0,1.34,22.47,2024/05/19 09:36:38
S100959,69.22,4.5,0.44,7.02,2024-04-05
S100960,71.39,6.31,1.34,20.8,05-27-2024
S100961,88.0%,2.06,0.09,16.57,03-18-2024
S100962,76.12,5.78,2.44,11.82,2024-01-11
S100963,1.0,0.99,0.09,6.6,28/01/2024
S100964,47.3%,2.9,2.63,16.69,20/02/2024
S100965,75%,2.86,2.46,18.46,2024/02/12 13:04:44
S100966,93.93,4.01,0.06,12.78,2024-04-18
S100967,69.94,2.35,0.9,8.13,2024-01-28
S100968,64.83,2.71,1.94,20.34,30/04/2024
S100969,85.82,4.83,0.99,23.29,2024-03-31
S100970,73.88,1.59,0.59,21.68,03-31-2024
S100971,0.7502,3.1,1.29,26.12,2024-05-05
S100972,84.2%,2.52,2.98,10.44,13/02/2024
S100973,85.41,1.78,0.23,5.09,2024-03-04
S100974,82.25,1.75,2.32,17.87,2024-03-06
S100975,79.15,6.56,0.38,12.18,2024-04-15
S100976,80.3,3.28,0.26,21.91,2024-05-18
S100977,66.52,2.47,1.87,7.74,2024/05/02 21:20:10
S100978,66.85,2.02,0.06,8.25,12/05/2024
S100979,69.16,4.13,3.71,15.48,05-10-2024
S100980,77.4%,1.89,1.02,16.22,2024-01-25
S100981,69.98,2.73,2.08,19.72,2024-01-11
S100982,79.87,0.69,3.66,14.31,16/02/2024
S100983,80.28,1.41,,1.58,2024-02-02
S100984,75.8%,4.5,2.34,39.16,2024-02-27
S100985,73.2%,4.26,0.66,15.23,2024-04-07
S100986,0.8622,4.56,0.49,35.22,04/04/2024
S100987,81.53,4.44,2.67,14.12,25/02/2024
S100988,69%,5.47,1.75,7.63,03/03/2024
S100989,48.5,2.5,0.14,12.78,2024-04-19
S100990,0.6691,1.99,0.75,22.7,2024-02-18
S100991,85.48,4.31,0.49,19.33,03-24-2024
S100992,60.26,2.76,0.5,17.15,11/02/2024
S100993,66.04,3.84,2.69,14.57,2024-03-21
S100994,86.18,2.71,3.39,15.91,2024-05-28
S100995,81.94,1.34,2.53,13.96,2024-05-11
S100996,66.2%,2.37,2.31,23.38,14/03/2024
S100997,83.69,2.29,8.0,21.41,2024-03-26
S100998,68.9,4.85,2.7,8.4,2024-01-12
S100999,73.86,4.67,1.9,4.66,27/05/2024
S101000,78.61,6.23,0.52,6.42,2024-02-03
S101001,76.32,4.02,1.68,12.51,2024-03-10
S101002,100.0,3.14,2.63,16.55,2024-04-22
S101003,63.14,3.35,2.13,14.62,21/05/2024
S101004,74%,1.11,4.01,19.41,2024-01-17
S101005,76.05,2.37,0.04,14.9,2024-04-15
S101006,70.08,6.2,2.91,26.17,06/05/2024
S101007,71.06,4.73,0.12,18.56,2024-01-26
S101008,83.5%,5.16,1.21,15.13,2024-03-23
S101009,81.73,2.94,3.2,4.42,2024-01-24
S101010,82.48,3.55,0.48,17.45,2024-03-22
S101011,76.9,0.03,4.16,18.49,2024-03-12
S101012,88.2%,4.06,3.27,10.0,2024-04-14
S101013,74.48,2.19,0.4,6.91,17/04/2024
S101014,93.8%,0.28,1.11,22.66,2024-03-19
S101015,85%,4.51,4.26,8.22,2024-01-22
S101016,100%,2.72,0.9,16.16,12/01/2024
S101017,94.2,4.73,1.23,15.21,2024-01-19
S101018,82.02,3.4,4.48,18.13,14/03/2024
S101019,100.0,3.86,0.26,8.27,2024-03-07
S101020,99.13,5.84,0.4,14.16,16/01/2024
